game_title,game_release_date,game_critic_score,game_user_score,video_number,video_total_views,video_total_likes,video_total_dislikes,video_total_favorites,video_total_comments,game_total_critic_reviews,game_total_user_reviews,game_type,game_rating,game_critic_positive_reviews,game_critic_mixed_reviews,game_critic_negative_reviews,game_user_positive_reviews,game_user_mixed_reviews,game_user_negative_reviews,video_average_views,X,all_critic_num,all_user_num_2,all_game_types,all_ratings,all_critic_positive,all_critic_mixed,all_critic_negative,all_user_positive,all_user_mixed,all_user_negative,global_sale_list
Hellgate: London,2007-10-31,70,6.3,31,87643,289,14,0,86,40,375,Role-Playing,M,11,27,2,76,43,43,2827.1935483871,71,40,375,Role-Playing,M,11,27,2,76,43,43,0.02
Thrillville: Off the Rails,2007-10-09,70,3,49,8784758,75948,2867,0,24972,8,34,Strategy,E10+,4,3,1,1,2,2,179280.775510204,72,8,34,Strategy,E10+,4,3,1,1,2,2,0
Need for Speed: ProStreet,2007-11-13,70,6,49,90769,857,36,0,447,18,166,Driving,E10+,7,11,0,6,10,10,1852.42857142857,73,18,166,Driving,E10+,7,11,0,6,10,10,0.04
Top Spin 2,2007-03-16,70,7.2,18,49336,1327,18,0,107,8,20,Sports,E,2,6,0,2,1,1,2740.88888888889,75,8,20,Sports,E,2,6,0,2,1,1,0
Nostradamus: The Last Prophecy,2007-09-30,70,5.9,45,32017,223,21,0,81,10,8,Adventure,E10+,2,7,1,1,1,1,711.488888888889,76,10,8,Adventure,E10+,2,7,1,1,1,1,0
Heroes of Might and Magic V: Tribes of the East,2007-10-16,70,8.6,50,87195,358,47,0,229,8,91,Strategy,T,3,5,0,9,0,0,1743.9,77,8,91,Strategy,T,3,5,0,9,0,0,0
Death to Spies,2007-10-16,69,7.7,13,1919257,15443,632,0,2306,14,32,Action Adventure,M,5,6,3,1,5,5,147635.153846154,80,14,32,Action Adventure,M,5,6,3,1,5,5,0
Vanguard: Saga of Heroes,2007-01-30,68,7.1,6,103898,899,15,0,109,32,123,Role-Playing,T,11,19,2,49,9,9,17316.3333333333,81,32,123,Role-Playing,T,11,19,2,49,9,9,0
UFO: Extraterrestrials,2007-05-30,68,6.9,47,402804,2344,55,0,905,15,35,Strategy,E10+,5,10,0,7,3,3,8570.29787234042,82,15,35,Strategy,E10+,5,10,0,7,3,3,0.01
Championship Manager 2008,2007-11-06,68,6.8,34,301820,4462,1159,0,516,9,4,Sports,NA,2,6,1,1,1,1,8877.05882352941,84,9,4,Sports,NA,2,6,1,1,1,1,0
Fantasy Wars,2007-11-08,67,8.4,32,20677,170,4,0,117,22,42,Strategy,T,10,10,2,13,2,2,646.15625,86,22,42,Strategy,T,10,10,2,13,2,2,0
Shadowrun,2007-05-29,67,6.3,18,35933,434,13,0,162,30,36,Action,M,8,21,1,6,1,1,1996.27777777778,87,30,36,Action,M,8,21,1,6,1,1,0
Kane & Lynch: Dead Men,2007-11-20,67,5.9,28,13553,97,4,0,50,24,238,Action,M,6,17,1,24,12,12,484.035714285714,88,24,238,Action,M,6,17,1,24,12,12,0
Team Fortress 2,2008-04-08,92,9.1,48,447355,4975,210,0,1325,17,5980,Action,M,17,0,0,NA,69,69,9319.89583333333,92,17,5980,Action,M,17,0,0,NA,69,69,0
World of Warcraft: Wrath of the Lich King,2008-11-13,91,7.5,25,2367819,98054,929,0,10903,47,940,Role-Playing,T,47,0,0,61,23,23,94712.76,94,47,940,Role-Playing,T,47,0,0,61,23,23,1.32
Fallout 3,2008-10-28,91,7.9,10,4831,58,1,0,17,48,3491,Role-Playing,M,45,3,0,430,115,115,483.1,95,48,3491,Role-Playing,M,45,3,0,430,115,115,0.98
Portal,2008-04-08,90,9.3,3,2926,113,4,0,16,27,4141,Action,T,27,0,0,757,43,43,975.333333333333,96,27,4146,Action,T,27,0,0,758,43,43,0.01
Grand Theft Auto IV,2008-12-02,90,6.6,35,2932714,34062,1073,0,7798,40,2319,Action Adventure,M,38,2,0,187,89,89,83791.8285714286,97,40,2320,Action Adventure,M,38,2,0,187,89,89,0.88
Mass Effect,2008-05-28,89,8.6,33,43848,874,18,0,210,45,2430,Role-Playing,M,45,0,0,265,48,48,1328.72727272727,98,45,2433,Role-Playing,M,45,0,0,265,48,48,0.67
GRID,2008-06-03,87,7.9,49,4047833,33706,511,0,6909,25,465,Driving,E,24,1,0,76,18,18,82608.8367346939,99,25,465,Driving,E,24,1,0,76,18,18,0.04
Sins of a Solar Empire,2008-02-04,87,8.2,20,324867,19317,113,0,2511,52,275,Strategy,T,51,1,0,78,10,10,16243.35,100,52,275,Strategy,T,51,1,0,78,10,10,0.03
Warhammer Online: Age of Reckoning,2008-09-16,86,7.9,15,237400,2396,48,0,528,54,374,Role-Playing,T,52,2,0,103,20,20,15826.6666666667,101,54,374,Role-Playing,T,52,2,0,103,20,20,0.02
