game_title,game_release_date,game_critic_score,game_user_score,video_number,video_total_views,video_total_likes,video_total_dislikes,video_total_favorites,video_total_comments,game_total_critic_reviews,game_total_user_reviews,game_type,game_rating,game_critic_positive_reviews,game_critic_mixed_reviews,game_critic_negative_reviews,game_user_positive_reviews,game_user_mixed_reviews,game_user_negative_reviews,video_average_views,X,all_critic_num,all_user_num_2,all_game_types,all_ratings,all_critic_positive,all_critic_mixed,all_critic_negative,all_user_positive,all_user_mixed,all_user_negative,global_sale_list
Total War: Shogun 2 - Fall of the Samurai,2012-03-23,86,8.5,40,175394,2239,43,0,482,45,352,Strategy,T,44,1,0,43,8,8,4384.85,468,45,352,Strategy,T,44,1,0,43,8,8,0.2
Football Manager 2013,2012-11-01,86,6.8,48,2189532,25227,535,0,5002,37,231,Sports,NA,35,2,0,19,10,10,45615.25,469,37,231,Sports,NA,35,2,0,19,10,10,1.15
FIFA Soccer 13,2012-09-25,86,6.6,26,427372,1957,93,0,479,7,289,Sports,E,7,0,0,17,9,9,16437.3846153846,471,7,289,Sports,E,7,0,0,17,9,9,0.4
Rayman Origins,2012-03-29,86,8.4,46,10995819,40262,3009,0,5903,11,342,Action,E10+,11,0,0,49,3,3,239039.543478261,473,11,343,Action,E10+,11,0,0,49,3,3,0.08
Alan Wake,2012-02-16,83,8,22,5468463,262388,3157,0,45448,30,1484,Action Adventure,T,27,3,0,171,65,65,248566.5,483,30,1484,Action Adventure,T,27,3,0,171,65,65,0.07
Crusader Kings II,2012-02-14,82,8.7,50,5680082,74492,1518,0,13518,31,745,Strategy,T,27,4,0,171,8,8,113601.64,488,31,746,Strategy,T,27,4,0,171,8,8,0
World of Warcraft: Mists of Pandaria,2012-09-25,82,4.8,48,131208,1875,40,0,422,42,1272,Massively Multiplayer,T,38,4,0,164,40,40,2733.5,489,42,1272,Massively Multiplayer,T,38,4,0,164,40,40,1.82
Botanicula,2012-04-19,82,8.3,48,1967759,10529,481,0,1567,38,343,Adventure,NA,32,6,0,51,8,8,40994.9791666667,491,38,343,Adventure,NA,32,6,0,51,8,8,0.03
Darksiders II,2012-08-13,81,7.8,32,31619,526,37,0,244,23,657,Action Adventure,M,21,2,0,85,28,28,988.09375,493,23,657,Action Adventure,M,21,2,0,85,28,28,0.15
Kingdoms of Amalur: Reckoning,2012-02-07,81,6.6,46,426619,7080,192,0,1767,25,1102,Role-Playing,M,22,3,0,202,99,99,9274.32608695652,496,25,1104,Role-Playing,M,22,3,0,202,99,99,0.3
Sleeping Dogs,2012-08-13,81,8.2,11,325538,1533,151,0,442,23,1220,Action Adventure,M,18,5,0,187,49,49,29594.3636363636,497,23,1220,Action Adventure,M,18,5,0,187,49,49,0.12
Pro Evolution Soccer 2013,2012-09-25,80,6.9,50,2013074,51165,705,0,6678,8,185,Sports,E,6,2,0,17,3,3,40261.48,500,8,185,Sports,E,6,2,0,17,3,3,0.08
Assassin's Creed III,2012-11-20,80,6.2,5,5386412,51310,1452,0,5383,21,1506,Action Adventure,M,18,2,1,111,112,112,1077282.4,501,21,1506,Action Adventure,M,18,2,1,111,112,112,0.93
F1 2012,2012-09-18,80,6.9,50,1507962,25863,702,0,8402,15,115,Driving,E,12,3,0,11,4,4,30159.24,506,15,115,Driving,E,12,3,0,11,4,4,0.15
Hitman: Absolution,2012-11-19,79,7,29,8626000,178608,8319,0,18542,26,1336,Action Adventure,M,18,8,0,124,95,95,297448.275862069,511,26,1336,Action Adventure,M,18,8,0,124,95,95,0.25
Street Fighter X Tekken,2012-05-11,79,6.4,46,641057,8050,153,0,2232,8,134,Action,T,6,2,0,10,10,10,13936.0217391304,512,8,134,Action,T,6,2,0,10,10,10,0.02
Transformers: Fall of Cybertron,2012-08-20,78,7.9,50,4695458,253545,2858,0,42152,13,122,Action,T,9,4,0,16,4,4,93909.16,517,13,122,Action,T,9,4,0,16,4,4,0.01
Tropico 4: Modern Times,2012-03-29,78,8,15,1524226,20292,354,0,3912,11,58,Strategy,T,8,3,0,7,2,2,101615.066666667,519,11,58,Strategy,T,8,3,0,7,2,2,0.02
Endless Space,2012-07-04,77,7.4,31,11149923,48978,4143,0,7202,36,514,Strategy,T,27,8,1,81,55,55,359674.935483871,524,36,515,Strategy,T,27,8,1,81,55,55,0
The Darkness II,2012-02-06,77,7.6,48,131553,1738,42,0,723,20,451,Action,M,15,5,0,57,17,17,2740.6875,525,20,451,Action,M,15,5,0,57,17,17,0.14
TERA,2012-05-01,77,6.8,49,2904345,35327,1196,0,8501,41,747,Role-Playing,M,28,13,0,197,55,55,59272.3469387755,526,41,749,Role-Playing,M,28,13,0,197,55,55,0.42
Spec Ops: The Line,2012-06-25,76,8.2,39,2575530,18156,564,0,2363,16,1246,Action,M,9,7,0,192,50,50,66039.2307692308,530,16,1247,Action,M,9,7,0,192,50,50,0.23
Edna & Harvey: Harvey's New Eyes,2012-10-16,75,8.1,27,18593,380,8,0,91,19,68,Adventure,NA,11,8,0,4,2,2,688.62962962963,536,19,68,Adventure,NA,11,8,0,4,2,2,0.08
Deponia,2012-08-06,74,8.2,49,12667243,28138,3562,0,3776,33,313,Adventure,NA,20,13,0,29,15,15,258515.163265306,544,33,313,Adventure,NA,20,13,0,29,15,15,0.15
The Secret World,2012-07-03,74,8.2,50,186372,4268,182,0,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3727.44,549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17
BioShock Infinite,2013-03-25,94,8.5,50,711179,12241,427,0,1725,68,7368,Action,M,68,0,0,NA,297,297,14223.58,550,68,7373,Action,M,68,0,0,NA,297,297,0.67
Europa Universalis IV,2013-08-13,87,8.7,46,503178,5681,167,0,1681,34,958,Strategy,T,31,3,0,154,17,17,10938.652173913,559,34,959,Strategy,T,31,3,0,154,17,17,0
Gone Home,2013-08-15,86,5.4,41,212577,1058,11,0,141,56,2039,Adventure,NA,49,7,0,302,165,165,5184.80487804878,560,56,2039,Adventure,NA,NA,NA,NA,NA,NA,NA,0
Saints Row IV,2013-08-19,86,7.4,50,666224,4397,122,0,1519,45,1555,Action Adventure,M,42,3,0,190,79,79,13324.48,563,45,1556,Action Adventure,M,42,3,0,190,79,79,0.19
Tomb Raider,2013-03-04,86,8.5,6,2746277,69696,2401,0,8236,18,3582,Action Adventure,M,17,1,0,521,116,116,457712.833333333,565,18,3584,Action Adventure,M,17,1,0,521,116,116,1.03
Football Manager 2014,2013-10-30,85,5.5,50,609099,15749,291,0,605,41,277,Sports,E,40,1,0,19,10,10,12181.98,573,41,277,Sports,E,40,1,0,19,10,10,0.64
Assassin's Creed IV: Black Flag,2013-11-19,84,7.7,34,2630198,44135,1035,0,14321,10,1485,Action Adventure,M,8,2,0,177,50,50,77358.7647058823,578,10,1486,Action Adventure,M,8,2,0,177,50,50,0.65
Metro: Last Light,2013-05-13,82,8.6,50,456833,10086,164,0,1626,71,2669,Action,M,60,11,0,356,66,66,9136.66,587,71,2670,Action,M,60,11,0,356,66,66,0.19
Battlefield 4,2013-10-29,81,6,45,589252,11615,430,0,3629,52,3540,Action,M,42,10,0,348,169,169,13094.4888888889,589,52,3542,Action,M,42,10,0,348,169,169,1.38
GRID 2,2013-05-27,80,5.7,30,222175,2455,410,0,812,17,571,Driving,E,15,2,0,40,32,32,7405.83333333333,598,17,571,Driving,E,15,2,0,40,32,32,0.06
Goodbye Deponia,2013-10-17,80,7.9,50,6916320,81234,7159,0,51905,34,174,Adventure,NA,24,9,1,10,4,4,138326.4,601,34,174,Adventure,NA,24,9,1,10,4,4,0.07
Company of Heroes 2,2013-06-25,80,2.1,29,56029,2836,27,0,750,82,6168,Strategy,M,70,10,2,400,86,86,1932.03448275862,604,82,6169,Strategy,M,70,10,2,400,86,86,0.34
Euro Truck Simulator 2,2013-01-16,79,8.7,9,25177,540,38,0,94,17,1010,Simulation,NA,13,4,0,177,25,25,2797.44444444444,613,17,1011,Simulation,NA,13,4,0,177,25,25,0.13
Payday 2,2013-08-13,79,3.5,41,15602,338,14,0,82,51,3577,Action,M,40,11,0,287,60,60,380.536585365854,614,51,3579,Action,M,40,11,0,288,60,60,0.05
State of Decay,2013-11-05,79,6.9,34,1785263,15267,477,0,2615,9,527,Action Adventure,NA,6,3,0,81,41,41,52507.7352941177,622,9,527,Action Adventure,NA,6,3,0,81,41,41,0.01
LEGO Marvel Super Heroes,2013-10-22,78,8.1,50,1816788,9423,504,0,1724,7,124,Action Adventure,E10+,6,1,0,9,3,3,36335.76,625,7,124,Action Adventure,E10+,6,1,0,9,3,3,0.17
Dead Space 3,2013-02-05,78,6,50,1871760,52909,432,0,12555,16,1109,Action,M,12,4,0,94,79,79,37435.2,626,16,1110,Action,M,12,4,0,94,79,79,0.19
Resident Evil: Revelations,2013-05-20,77,7,50,14408401,76906,3295,0,15751,12,352,Action Adventure,M,9,3,0,26,16,16,288168.02,640,12,352,Action Adventure,M,9,3,0,26,16,16,0.04
Dark Souls II,2014-04-24,91,7.1,45,147705,3243,134,0,974,36,2331,Role-Playing,T,36,0,0,275,62,62,3282.33333333333,648,36,2331,Role-Playing,T,36,0,0,275,62,62,0.18
Divinity: Original Sin,2014-01-17,87,8.7,40,105318,1322,36,0,409,59,2096,Role-Playing,M,56,3,0,371,60,60,2632.95,654,59,2096,Role-Playing,M,56,3,0,372,60,60,0.02
World of Warcraft: Warlords of Draenor,2014-11-13,87,5.9,50,1065828,4217,549,0,885,49,1159,Role-Playing,T,47,2,0,166,40,40,21316.56,655,49,1159,Role-Playing,T,47,2,0,166,40,40,0.47
Titanfall,2014-03-11,86,6.2,50,27285960,79776,7469,0,6646,29,1735,Action,M,28,1,0,192,145,145,545719.2,658,29,1735,Action,M,28,1,0,192,145,145,0.58
Dragon Age: Inquisition,2014-11-18,85,5.9,25,392312,2035,100,0,143,45,3964,Role-Playing,M,40,5,0,538,277,277,15692.48,661,45,3967,Role-Playing,M,40,5,0,538,277,277,0.76
South Park: The Stick of Truth,2014-03-04,85,8.6,32,78451,3021,50,0,882,48,1752,Role-Playing,M,43,5,0,237,40,40,2451.59375,662,48,1755,Role-Playing,M,43,5,0,237,40,40,0.19
Pro Evolution Soccer 2015,2014-11-13,82,5.8,37,4351298,30731,762,0,7302,8,175,Sports,NA,6,2,0,15,12,12,117602.648648649,689,8,175,Sports,NA,6,2,0,15,12,12,0.06
Wolfenstein: The New Order,2014-05-19,81,8.1,50,6623889,48835,2139,0,5890,23,1665,Action,M,20,3,0,250,53,53,132477.78,696,23,1666,Action,M,20,3,0,250,53,53,0.46
Alien: Isolation,2014-10-06,81,8.4,50,1521276,18541,242,0,4076,41,1611,Action Adventure,M,32,9,0,312,53,53,30425.52,697,41,1613,Action Adventure,M,32,9,0,312,53,53,0.14
Sid Meier's Civilization: Beyond Earth,2014-10-24,81,5.5,50,4015939,42420,994,0,11026,78,1032,Strategy,E10+,65,12,1,74,112,112,80318.78,700,78,1033,Strategy,E10+,65,12,1,74,112,112,0.38
Wasteland 2,2014-09-19,81,7.3,49,134611,1598,29,0,280,65,1173,Role-Playing,M,53,12,0,171,55,55,2747.16326530612,701,65,1174,Role-Playing,M,53,12,0,171,55,55,0.12
Metal Gear Solid V: Ground Zeroes,2014-12-18,80,7.6,18,252726,8493,57,0,1008,20,417,Action Adventure,M,18,2,0,39,9,9,14040.3333333333,705,20,417,Action Adventure,M,18,2,0,39,9,9,0.01
Trials Fusion,2014-04-16,80,6.8,49,2914743,64216,1170,0,13349,12,96,Driving,E10+,11,1,0,4,4,4,59484.5510204082,706,12,97,Driving,E10+,11,1,0,4,4,4,0.03
Far Cry 4,2014-11-18,80,6.7,50,134503,3744,64,0,620,17,1085,Action,M,15,2,0,119,70,70,2690.06,710,17,1088,Action,M,15,2,0,119,70,70,0.67
Football Manager 2015,2014-11-07,80,6.1,25,1009091,6702,90,0,1555,36,153,Sports,NA,28,8,0,10,11,11,40363.64,714,36,154,Sports,NA,28,8,0,10,11,11,0.46
Call of Duty: Advanced Warfare,2014-11-03,78,4.5,13,96250,717,32,0,236,18,1138,Action,M,15,2,1,77,41,41,7403.84615384615,724,18,1139,Action,M,15,2,1,77,41,41,0.43
GRID Autosport,2014-06-26,78,6.2,46,152684,4509,61,0,647,35,258,Driving,E,24,11,0,24,14,14,3319.21739130435,729,35,258,Driving,E,24,11,0,24,14,14,0.03
Sherlock Holmes: Crimes & Punishments,2014-09-30,77,7.7,50,5799408,131863,1835,0,13359,32,191,Adventure,M,20,12,0,18,6,6,115988.16,735,32,191,Adventure,M,20,12,0,18,6,6,0.05
Child of Light,2014-04-30,77,8.1,45,238904,2031,86,0,341,16,483,Action,E10+,11,5,0,58,19,19,5308.97777777778,738,16,483,Action,E10+,11,5,0,58,19,19,0.01
Grand Theft Auto V,2015-04-14,96,7.9,50,214903,7014,38,0,665,57,3875,Modern,M,56,1,0,359,92,92,4298.06,739,57,3885,Modern,M,56,1,0,359,92,92,1.27
The Witcher 3: Wild Hunt,2015-05-18,93,9.3,46,340470,2391,51,0,838,32,10831,Role-Playing,M,32,0,0,954,78,78,7401.52173913043,740,32,10845,Role-Playing,M,32,0,0,955,79,79,0.81
Metal Gear Solid V: The Phantom Pain,2015-09-01,91,7.7,50,5647408,204263,2525,0,20465,13,2002,Action Adventure,M,13,0,0,128,60,60,112948.16,742,13,2005,Action Adventure,M,13,0,0,129,60,60,0.09
Pillars of Eternity,2015-03-26,89,8.3,44,324666,3083,130,0,1736,71,2213,Role-Playing,M,70,1,0,315,77,77,7378.77272727273,744,71,2214,Role-Playing,M,70,1,0,315,77,77,0.02
Ori and the Blind Forest,2015-03-11,88,8.7,29,50276,1002,48,0,193,12,920,Action,E,12,0,0,115,13,13,1733.65517241379,748,12,920,Action,E,12,0,0,115,13,13,0.01
Final Fantasy XIV: Heavensward,2015-06-23,86,7.7,36,578970,2123,219,0,1092,14,255,Massively Multiplayer Online,T,14,0,0,26,2,2,16082.5,752,14,255,Massively Multiplayer Online,T,14,0,0,26,2,2,0.03
Homeworld Remastered Collection,2015-02-25,86,8.2,50,4639451,128514,1554,0,46400,49,327,Miscellaneous,E10+,48,1,0,38,8,8,92789.02,754,49,327,Miscellaneous,E10+,48,1,0,38,8,8,0.01
Heroes of the Storm,2015-06-02,86,6.6,50,247390,6090,217,0,826,57,1073,Action,T,54,3,0,127,59,59,4947.8,755,57,1075,Action,T,54,3,0,128,58,58,0.01
DiRT Rally,2015-12-07,86,8.7,49,3203060,29995,1092,0,6160,33,293,Racing,E,33,0,0,38,5,5,65368.5714285714,756,33,293,Racing,E,33,0,0,38,5,5,0.03
Rocket League,2015-07-05,86,8.2,45,1740095,18813,307,0,3514,20,604,Sports,E,17,3,0,90,6,6,38668.7777777778,757,20,611,Sports,E,17,3,0,90,6,6,0.12
Cities: Skylines,2015-03-10,85,8.9,21,277410,3311,54,0,735,60,1419,City Building,E,58,2,0,211,24,24,13210,758,60,1423,City Building,E,58,2,0,212,24,24,0.14
Fallout 4,2015-11-09,84,5.4,24,71270,1795,34,0,431,38,7591,General,M,30,8,0,829,393,393,2969.58333333333,767,38,7598,General,M,30,8,0,830,394,394,1.38
Life is Strange,2015-10-20,83,8.6,50,5415166,65481,3779,0,34086,15,1679,Action Adventure,M,13,2,0,182,17,17,108303.32,768,15,1684,Action Adventure,M,13,2,0,182,17,17,0.05
Project CARS,2015-05-06,83,7,42,5539418,61485,1008,0,8759,48,422,Driving,E,42,6,0,57,17,17,131890.904761905,769,48,423,Driving,E,42,6,0,57,17,17,0.14
Football Manager 2016,2015-11-13,81,7,49,8341627,169563,3227,0,114208,34,99,Sports,E,30,4,0,9,5,5,170237.285714286,781,34,99,Sports,E,30,4,0,9,5,5,0.39
Galactic Civilizations III,2015-05-14,81,6.5,45,149790,4027,85,0,1138,31,200,Strategy,NA,25,6,0,19,15,15,3328.66666666667,786,31,201,Strategy,NA,25,6,0,19,16,16,0.01
Total War: Attila,2015-02-17,80,7.3,10,30222,459,2,0,77,66,530,Strategy,T,52,14,0,78,17,17,3022.2,801,66,531,Strategy,T,52,14,0,78,18,18,0.25
Evolve,2015-02-09,77,4.3,25,93082,2648,19,0,299,39,973,Action,M,25,14,0,105,47,47,3723.28,828,39,974,Action,M,25,14,0,105,47,47,0.2
Overwatch,2016-05-23,91,6.8,50,1224928,24123,379,0,5922,62,4208,General,T,60,2,0,465,179,179,24498.56,834,62,4222,General,T,60,2,0,466,179,179,0.73
Dark Souls III,2016-04-11,89,8.6,48,82990,609,29,0,176,56,1902,Role-Playing,M,54,2,0,125,31,31,1728.95833333333,837,56,1905,Role-Playing,M,54,2,0,126,31,31,0.09
XCOM 2,2016-02-05,88,7.1,46,37956,991,12,0,293,104,1261,Strategy,T,97,6,1,180,77,77,825.130434782609,841,104,1262,Strategy,T,97,6,1,180,77,77,0.28
Sid Meier's Civilization VI,2016-10-21,88,7.2,47,2072243,49421,388,0,6150,84,759,Strategy,E10+,79,4,1,78,51,51,44090.2765957447,842,84,764,Strategy,E10+,79,4,1,78,52,52,0.38
Battlefield 1,2016-10-21,88,7.5,50,4497646,100686,2244,0,30328,54,1318,General,M,52,2,0,131,61,61,89952.92,843,54,1333,General,M,52,2,0,131,61,61,0.68
World of Warcraft: Legion,2016-08-30,88,7.3,45,231958,1478,37,0,520,62,580,Role-Playing,T,61,1,0,61,21,21,5154.62222222222,844,62,581,Role-Playing,T,61,1,0,61,21,21,0.41
Rise of the Tomb Raider,2016-01-28,86,7.9,8,23912,319,28,0,65,45,960,Action Adventure,M,44,1,0,97,31,31,2989,849,45,966,Action Adventure,M,44,1,0,97,31,31,0.15
Total War: WARHAMMER,2016-05-24,86,7.3,50,752026,36709,247,0,2223,77,575,Strategy,T,72,5,0,90,22,22,15040.52,850,77,577,Strategy,T,72,5,0,90,22,22,0.19
Dishonored 2,2016-11-10,86,6.2,49,204231,6983,98,0,1230,40,433,Action Adventure,M,35,5,0,36,9,9,4167.97959183673,851,40,435,Action Adventure,M,35,5,0,36,9,9,0.21
Titanfall 2,2016-10-28,86,8.1,50,56116,1444,48,0,359,30,555,Action,M,25,5,0,109,21,21,1122.32,856,30,558,Action,M,25,5,0,109,21,21,0.16
FIFA 17,2016-09-27,84,4.2,50,552497,5699,277,0,1331,12,208,Sports,E,11,1,0,6,6,6,11049.94,870,12,210,Sports,E,11,1,0,6,6,6,0.18
Hearts of Iron IV,2016-06-06,83,6.9,46,794842,14373,287,0,231,36,315,Historic,NA,33,3,0,24,10,10,17279.1739130435,875,36,315,Historic,NA,33,3,0,24,10,10,0.1
Deus Ex: Mankind Divided,2016-08-23,83,6.1,7,778,1,0,0,5,56,760,Action Adventure,M,48,8,0,79,37,37,111.142857142857,878,56,764,Action Adventure,M,48,8,0,79,37,37,0.07
Tyranny,2016-11-10,80,7.8,37,1594384,15351,518,0,2201,65,347,Role-Playing,NA,53,12,0,50,15,15,43091.4594594595,901,66,348,Role-Playing,NA,54,12,0,50,15,15,0.02
Football Manager 2017,2016-11-04,80,4.5,49,607008,13236,292,0,1678,45,65,Sports,E,36,9,0,6,2,2,12387.9183673469,903,45,65,Sports,E,36,9,0,6,2,2,0.24
Tom Clancy's The Division,2016-03-08,79,5.9,48,193131,5091,68,0,951,33,1208,Action,M,24,9,0,130,59,59,4023.5625,913,33,1210,Action,M,24,9,0,130,59,59,0.45
The Sims 4: City Living,2016-11-01,78,6.3,50,3796754,51513,700,0,7791,13,41,Simulation,T,9,4,0,3,5,5,75935.08,925,13,41,Simulation,T,9,4,0,3,5,5,0.24
Stellaris,2016-05-09,78,8,38,389040,8197,165,0,1565,57,580,Strategy,NA,46,10,1,69,29,29,10237.8947368421,926,57,582,Strategy,NA,46,10,1,69,29,29,0.06
