game_title,game_release_date,game_critic_score,game_user_score,video_number,video_total_views,video_total_likes,video_total_dislikes,video_total_favorites,video_total_comments,game_total_critic_reviews,game_total_user_reviews,game_type,game_rating,game_critic_positive_reviews,game_critic_mixed_reviews,game_critic_negative_reviews,game_user_positive_reviews,game_user_mixed_reviews,game_user_negative_reviews,video_average_views
Starseed Pilgrim,2013-04-16,83,6.1,50,152370,3448,57,0,832,12,36,Simulation,NA,9,3,0,4,3,3,3047.4
Monaco: What's Yours Is Mine,2013-04-24,83,7.7,50,3538104,71640,1638,0,16460,47,213,Adventure,T,39,8,0,26,10,10,70762.08
Valdis Story: Abyssal City,2013-10-30,83,8,42,18244208,127552,4636,0,10931,7,71,Action,NA,7,0,0,18,7,7,434385.904761905
Sokobond,2013-08-27,82,7.8,5,12131,291,15,0,54,7,5,Miscellaneous,NA,4,3,0,3,0,0,2426.2
Antichamber,2013-01-31,82,8.2,40,459361,10844,124,0,2768,50,542,Miscellaneous,NA,44,6,0,83,20,20,11484.025
Metro: Last Light,2013-05-13,82,8.6,50,456833,10086,164,0,1626,71,2669,Action,M,60,11,0,356,66,66,9136.66
Rising Storm,2013-05-30,82,8.5,49,172105,1703,87,0,292,21,227,Action,NA,20,1,0,51,6,6,3512.34693877551
Battlefield 4,2013-10-29,81,6,45,589252,11615,430,0,3629,52,3540,Action,M,42,10,0,348,169,169,13094.4888888889
War Thunder,2013-08-15,81,6.6,46,230276,5502,64,0,1255,8,707,Action,T,7,1,0,77,38,38,5006
Kentucky Route Zero - Act I,2013-01-07,81,7.5,39,631449,8860,232,0,1463,28,108,Adventure,NA,24,4,0,9,6,6,16191
Castlevania: Lords of Shadow Ultimate Edition,2013-08-27,81,7.4,40,1826922,4311,298,0,913,23,564,Action Adventure,M,19,4,0,57,18,18,45673.05
The Cat Lady,2013-12-04,81,8.8,3,153,2,0,0,0,11,178,Adventure,NA,9,2,0,38,4,4,51
Victoria II: Heart of Darkness,2013-04-16,81,8.8,49,681149,10715,236,0,1608,7,55,Strategy,NA,7,0,0,6,2,2,13901
Waveform,2013-01-25,81,7.4,49,1702849,16853,259,0,3459,8,38,Puzzle,NA,7,1,0,8,2,2,34752.0204081633
Far Cry 3: Blood Dragon,2013-05-01,81,8.1,0,0,0,0,0,0,31,790,Action,M,26,5,0,116,24,24,NaN
Mortal Kombat Komplete Edition,2013-07-03,81,8.7,44,522575,7000,105,0,1424,18,503,Action,M,16,2,0,68,13,13,11876.7045454545
GRID 2,2013-05-27,80,5.7,30,222175,2455,410,0,812,17,571,Driving,E,15,2,0,40,32,32,7405.83333333333
Outlast,2013-09-04,80,8.4,47,79301,3833,38,0,658,59,1332,Action Adventure,M,50,9,0,207,62,62,1687.25531914894
Dishonored: The Brigmore Witches,2013-08-13,80,8.7,50,401346,11825,251,0,2112,15,134,Action Adventure,M,13,2,0,12,1,1,8026.92
Goodbye Deponia,2013-10-17,80,7.9,50,6916320,81234,7159,0,51905,34,174,Adventure,NA,24,9,1,10,4,4,138326.4
Brutal Legend,2013-02-26,80,7.9,50,483243,8045,132,0,1599,17,394,Action,M,14,3,0,42,17,17,9664.86
Dishonored: The Knife of Dunwall,2013-04-16,80,8.2,50,413942,20573,149,0,3807,21,199,Action Adventure,M,17,4,0,17,7,7,8278.84
Company of Heroes 2,2013-06-25,80,2.1,29,56029,2836,27,0,750,82,6168,Strategy,M,70,10,2,400,86,86,1932.03448275862
The Sims 3: Into the Future,2013-10-22,80,5.4,48,3360216,48929,494,0,8484,9,42,Simulation,T,8,1,0,3,0,0,70004.5
Fallen Enchantress: Legendary Heroes,2013-05-22,80,7.7,50,721548,26169,348,0,2658,18,156,Strategy,NA,16,2,0,35,9,9,14430.96
Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,2013-10-24,80,7.9,49,7038005,188895,2161,0,26929,7,221,Action,T,6,1,0,28,0,0,143632.755102041
Proteus,2013-01-30,80,5.6,41,896229,7726,168,0,3245,24,178,Adventure,NA,18,6,0,19,11,11,21859.243902439
Wargame: AirLand Battle,2013-05-29,80,8.1,50,9625594,107430,2863,0,14564,22,240,Strategy,T,18,3,1,57,12,12,192511.88
Dungeons & Dragons: Chronicles of Mystara,2013-06-18,80,6.7,38,136967,3365,55,0,533,9,32,Action,T,7,2,0,2,3,3,3604.39473684211
The Walking Dead: Season Two - A Telltale Games Series,2013-12-17,80,8.3,49,1772102,18212,898,0,4714,14,370,Action,M,10,4,0,30,13,13,36165.3469387755
The Wolf Among Us,2013-10-11,80,8.8,13,6933360,30402,1355,0,4462,13,415,Action Adventure,M,12,1,0,48,8,8,533335.384615385
Euro Truck Simulator 2,2013-01-16,79,8.7,9,25177,540,38,0,94,17,1010,Simulation,NA,13,4,0,177,25,25,2797.44444444444
Payday 2,2013-08-13,79,3.5,41,15602,338,14,0,82,51,3577,Action,M,40,11,0,287,60,60,380.536585365854
Sang-Froid: Tales of Werewolves,2013-04-05,79,7.9,47,49179,960,32,0,251,13,104,Action,NA,10,3,0,26,8,8,1046.36170212766
Call of Juarez: Gunslinger,2013-05-22,79,8.2,47,103918,1353,33,0,214,23,746,Action,M,16,7,0,108,28,28,2211.02127659574
Memoria,2013-08-29,79,8.2,36,1448946,16355,554,0,5296,43,127,Adventure,NA,34,8,1,11,3,3,40248.5
Race the Sun,2013-08-19,79,7.4,5,9119,56,5,0,10,16,75,Action,NA,12,4,0,11,7,7,1823.8
Stick it to the Man!,2013-12-13,79,7.2,49,962250,17752,532,0,5038,7,59,Action,T,6,1,0,8,1,1,19637.7551020408
Don't Starve,2013-04-23,79,8.3,50,960129,19336,417,0,1142,33,932,Action Adventure,NA,25,8,0,152,30,30,19202.58
TrackMania 2 Valley,2013-07-04,79,8.1,6,107472,805,7,0,179,7,41,Driving,NA,4,3,0,5,0,0,17912
State of Decay,2013-11-05,79,6.9,34,1785263,15267,477,0,2615,9,527,Action Adventure,NA,6,3,0,81,41,41,52507.7352941177
The Walking Dead: Season Two Episode 1 - All That Remains,2013-12-17,78,8.5,39,279699,3932,92,0,1504,55,583,Action,M,42,13,0,75,16,16,7171.76923076923
Teleglitch: Die More Edition,2013-07-24,78,7,50,199678,1364,43,0,240,18,49,Action,NA,14,3,1,4,4,4,3993.56
LEGO Marvel Super Heroes,2013-10-22,78,8.1,50,1816788,9423,504,0,1724,7,124,Action Adventure,E10+,6,1,0,9,3,3,36335.76
Dead Space 3,2013-02-05,78,6,50,1871760,52909,432,0,12555,16,1109,Action,M,12,4,0,94,79,79,37435.2
Baldur's Gate II: Enhanced Edition,2013-11-15,78,7.2,9,254342,2458,80,0,776,34,292,Role-Playing,NA,24,10,0,64,7,7,28260.2222222222
Samurai Gunn,2013-12-10,78,7.8,13,7512188,24534,1948,0,1946,11,23,Action,NA,9,2,0,6,1,1,577860.615384615
The Walking Dead: 400 Days,2013-07-03,78,7.6,50,797004,11691,293,0,2535,30,320,Action,M,20,10,0,28,26,26,15940.08
Battlefield 3: End Game,2013-03-26,78,7.4,50,28806961,141443,9359,0,20616,9,62,Action,M,7,2,0,7,2,2,576139.22
F1 2013,2013-10-03,77,6.3,44,953896,24627,486,0,4323,18,135,Driving,E,12,6,0,5,9,9,21679.4545454545
Expeditions: Conquistador,2013-05-30,77,8.2,49,1839980,35757,685,0,3068,21,197,Role-Playing,NA,14,7,0,33,12,12,37550.612244898
Element4l,2013-05-24,77,7.7,50,1227155,40131,313,0,3812,8,36,Action,NA,5,3,0,6,3,3,24543.1
Anomaly 2,2013-05-15,77,7.9,50,1453804,25890,351,0,2261,27,106,Action,T,21,5,1,5,7,7,29076.08
Teslagrad,2013-12-13,77,7.9,42,1022803,8263,411,0,3429,15,104,Action,E,12,3,0,12,7,7,24352.4523809524
Eldritch,2013-10-21,77,6.8,49,1648036,55880,401,0,6170,14,40,Action,NA,10,4,0,8,2,2,33633.387755102
Sanctum 2,2013-05-15,77,7.6,0,0,0,0,0,0,28,367,Action,T,21,7,0,46,15,15,NaN
Magic: Duels of the Planeswalkers 2014,2013-06-26,77,6.1,35,78423,2109,26,0,464,19,115,Strategy,T,14,5,0,12,8,8,2240.65714285714
Ace Combat Assault Horizon: Enhanced Edition,2013-01-24,77,5.9,48,73444,1219,22,0,253,14,158,Action,T,11,3,0,14,12,12,1530.08333333333
Resident Evil: Revelations,2013-05-20,77,7,50,14408401,76906,3295,0,15751,12,352,Action Adventure,M,9,3,0,26,16,16,288168.02
Angry Video Game Nerd Adventures,2013-09-20,77,7.5,38,203857,4609,124,0,1349,7,108,Action,NA,5,2,0,18,6,6,5364.65789473684
Crusader Kings II: Sons of Abraham,2013-11-18,77,7.8,50,207911,2744,121,0,749,7,52,Real-Time Strategy,NA,3,4,0,0,1,1,4158.22
Cognition: An Erica Reed Thriller Episode 3 - The Oracle,2013-06-30,77,7.5,49,19465507,342623,11943,0,63037,11,33,Adventure,NA,7,4,0,1,0,0,397255.244897959
Risk of Rain,2013-11-08,77,8.1,2,59914,1103,239,0,826,12,246,Action,NA,7,5,0,54,5,5,29957
Toki Tori 2 +,2013-07-11,76,7.6,50,901270,16699,323,0,3118,13,42,Miscellaneous,E,8,5,0,3,1,1,18025.4
SteamWorld Dig,2013-12-05,76,7.1,45,38091,914,30,0,355,12,86,Action,NA,9,3,0,7,4,4,846.466666666667
Kentucky Route Zero - Act III,2014-05-06,91,6.6,36,3409605,64943,864,0,11747,7,160,Adventure,NA,7,0,0,11,3,3,94711.25
Dark Souls II,2014-04-24,91,7.1,45,147705,3243,134,0,974,36,2331,Role-Playing,T,36,0,0,275,62,62,3282.33333333333
Hearthstone: Heroes of Warcraft,2014-03-11,88,6.3,50,184758,4246,64,0,735,42,1691,Card Battle Games,T,42,0,0,138,86,86,3695.16
Steins;Gate,2014-03-31,87,8.7,28,12992776,53465,3798,0,6392,9,183,First-Person,M,9,0,0,11,0,0,464027.714285714
Year Walk,2014-03-06,87,7,27,758592,4220,139,0,463,8,132,Miscellaneous,NA,8,0,0,16,4,4,28096
TowerFall Ascension,2014-03-11,87,6.6,26,44803,1433,6,0,125,16,143,Action,E10+,16,0,0,16,3,3,1723.19230769231
Diablo III: Reaper of Souls,2014-03-25,87,6.6,50,335632,3863,99,0,685,75,1475,Role-Playing,M,73,2,0,159,70,70,6712.64
Divinity: Original Sin,2014-01-17,87,8.7,40,105318,1322,36,0,409,59,2096,Role-Playing,M,56,3,0,371,60,60,2632.95
World of Warcraft: Warlords of Draenor,2014-11-13,87,5.9,50,1065828,4217,549,0,885,49,1159,Role-Playing,T,47,2,0,166,40,40,21316.56
Astebreed,2014-05-30,86,7.3,50,507291,10021,225,0,2047,14,122,Action,NA,14,0,0,14,2,2,10145.82
The Binding of Isaac: Rebirth,2014-11-04,86,8.2,31,24035,908,21,0,269,10,561,Action Adventure,NA,9,1,0,79,7,7,775.322580645161
Titanfall,2014-03-11,86,6.2,50,27285960,79776,7469,0,6646,29,1735,Action,M,28,1,0,192,145,145,545719.2
The Talos Principle,2014-12-11,85,8.5,50,4244241,66608,1069,0,13471,57,506,Sci-Fi,E10+,54,3,0,85,13,13,84884.82
Legend of Grimrock II,2014-10-15,85,8.1,45,1223598,16641,523,0,3239,38,341,Role-Playing,NA,37,1,0,55,11,11,27191.0666666667
Dragon Age: Inquisition,2014-11-18,85,5.9,25,392312,2035,100,0,143,45,3964,Role-Playing,M,40,5,0,538,277,277,15692.48
South Park: The Stick of Truth,2014-03-04,85,8.6,32,78451,3021,50,0,882,48,1752,Role-Playing,M,43,5,0,237,40,40,2451.59375
Shovel Knight,2014-06-26,85,7.9,38,374270,6392,335,0,2709,46,435,Action,E,44,2,0,63,9,9,9849.21052631579
Assetto Corsa,2014-12-19,85,8.3,44,377199,7895,80,0,2022,17,284,Driving,E,16,1,0,53,7,7,8572.70454545455
Valkyria Chronicles,2014-11-11,85,8.2,48,122529,2267,60,0,680,24,326,General,T,23,1,0,43,10,10,2552.6875
BattleBlock Theater,2014-05-15,85,7.9,37,55194,1544,19,0,428,17,194,Action,T,17,0,0,20,4,4,1491.72972972973
Middle-earth: Shadow of Mordor,2014-09-30,84,8,11,338191,1544,95,0,706,17,1683,Action Adventure,M,14,3,0,255,80,80,30744.6363636364
Hearthstone: Goblins Vs. Gnomes,2014-12-08,84,6.4,44,75431,3787,60,0,347,10,97,Miscellaneous,NA,9,1,0,6,6,6,1714.34090909091
Tales From The Borderlands: Episode 1 - Zer0 Sum,2014-11-25,84,8.5,20,43982,890,15,0,306,43,359,Miscellaneous,M,41,2,0,44,5,5,2199.1
Metro Redux,2014-08-26,84,8,22,25506,431,6,0,72,28,241,Action,M,28,0,0,18,5,5,1159.36363636364
Europa Universalis IV: Wealth of Nations,2014-05-29,84,8.4,22,230979,4546,96,0,1303,9,24,Strategy,NA,7,2,0,1,0,0,10499.0454545455
The Wolf Among Us: Episode 5 - Cry Wolf,2014-07-08,84,8.8,33,204897,1290,58,0,564,33,379,Action Adventure,M,27,6,0,35,4,4,6209
Ultimate General: Gettysburg,2014-10-16,84,8,48,1410884,21370,370,0,2560,8,150,Strategy,NA,8,0,0,56,7,7,29393.4166666667
